"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"McDowell, WV","18,413","-3.7%","$35,534","16.6%","71"
"Mingo, WV","22,979","-1.4%","$64,612","19.0%","78"
"Florence, SC","137,214","2.4%","$195,938","20.7%","54"
"Clarendon, SC","31,037","-1.1%","$171,665","18.1%","66"
"Effingham, IL","34,505","2.2%","$211,541","33.3%","37"
"Effingham, GA","71,541","3.6%","$340,274","25.6%","50"
"Bryan, GA","46,681","3.2%","$406,049","37.4%","53"
"Glynn, GA","86,172","1.0%","$355,715","19.1%","65"
"Brantley, GA","18,171","-2.9%","$136,460","17.3%","53"
"McCormick, SC","9,701","5.1%","$307,374","28.0%","70"
"Jeff Davis, GA","14,838","-3.8%","$129,059","22.2%","74"
"Volusia, FL","590,357","-3.5%","$330,338","31.1%","73"
"Hardee, FL","25,508","2.0%","$228,197","12.5%","49"
"Bradford, FL","27,888","1.1%","$233,479","22.9%","73"
"Alachua, FL","285,994","-0.9%","$309,628","28.0%","58"
"Hillsborough, FL","1,535,564","-3.1%","$386,294","36.6%","57"
"Pinellas, FL","961,596","-5.9%","$383,597","37.6%","66"
"Sarasota, FL","469,013","-8.4%","$422,205","29.9%","82"
"Rowan, NC","151,661","0.4%","$271,318","31.8%","51"
"Rowan, KY","24,525","10.9%","$182,080","13.3%","43"
"Auglaize, OH","46,209","5.9%","$225,432","17.3%","43"
"Switzerland, IN","9,914","11.7%","$240,700","14.2%","54"
"Wells, IN","28,261","7.3%","$237,095","25.0%","44"
"Dubois, IN","43,563","3.8%","$249,928","20.6%","39"
"Hawkins, TN","57,446","3.3%","$231,407","29.0%","56"
"Wolfe, KY","6,484","10.2%","$232,145","20.0%","83"
"Sevier, TN","99,415","-3.9%","$407,780","38.4%","72"
"Bell, KY","23,878","4.2%","$101,039","28.9%","87"
"Towns, GA","12,739","0.7%","$398,385","21.5%","65"
"Graham, NC","8,041","4.4%","$226,625","22.2%","61"
"Lumpkin, GA","33,931","3.2%","$387,541","38.9%","50"
"McCreary, KY","16,905","11.4%","$120,633","28.5%","69"
"Garrard, KY","17,346","12.0%","$251,505","33.7%","57"
"Casey, KY","15,951","8.8%","$142,534","13.3%","101"
"Overton, TN","22,807","3.8%","$241,900","27.2%","71"
"Nelson, VA","14,777","2.1%","$353,536","9.4%","59"
"Nelson, KY","47,102","5.7%","$259,165","24.0%","47"
"Metcalfe, KY","10,372","15.3%","$170,218","26.6%","65"
"Simpson, KY","19,786","5.2%","$259,827","21.3%","64"
"Oglethorpe, GA","15,221","3.1%","$312,768","34.0%","44"
"Dooly, GA","11,026","-4.9%","$126,555","9.7%","78"
"Crisp, GA","19,995","-0.9%","$127,514","22.8%","93"
"Gwinnett, GA","983,526","-0.6%","$424,211","30.8%","42"
"Douglas, IL","19,686","7.2%","$143,481","16.6%","45"
"Douglas, GA","149,160","-3.4%","$312,103","26.7%","56"
"Bartow, GA","115,041","0.7%","$323,070","29.8%","45"
"Haralson, GA","30,720","1.7%","$268,404","23.0%","51"
"Chattooga, GA","24,975","0.3%","$166,830","25.0%","69"
"Tallapoosa, AL","41,070","1.3%","$262,896","23.3%","59"
"Gadsden, FL","43,642","1.8%","$199,782","25.0%","69"
"Gulf, FL","14,772","-2.7%","$427,093","21.3%","74"
"Richland, SC","425,138","1.9%","$238,794","23.5%","40"
"Richland, IL","15,675","0.4%","$130,899","0.0%","21"
"Williamson, IL","66,706","1.9%","$153,305","15.4%","57"
"Williamson, TN","264,460","3.0%","$927,355","23.0%","50"
"Cheatham, TN","41,500","0.4%","$392,743","23.0%","58"
"Humphreys, TN","19,074","5.8%","$240,213","23.7%","66"
"Prentiss, MS","24,999","0.8%","$138,542","34.2%","50"
"Massac, IL","13,958","0.7%","$105,844","25.0%","61"
"Tippah, MS","21,621","3.9%","$143,903","16.3%","72"
"Hardeman, TN","25,477","2.8%","$150,553","13.4%","60"
"Carlisle, KY","4,763","9.9%","$143,784","0.0%","52"
"Dyer, TN","36,681","0.1%","$168,619","21.4%","57"
"Cape Girardeau, MO","82,984","3.4%","$239,063","21.1%","59"
"Escambia, AL","36,695","-5.1%","$136,355","20.1%","65"
"Escambia, FL","326,928","-2.0%","$277,523","29.9%","67"
"Atlantic, NJ","275,213","5.9%","$371,567","18.2%","54"
"Wicomico, MD","104,800","2.0%","$268,887","24.1%","43"
"Lehigh, PA","377,754","3.3%","$347,644","21.1%","17"
"Harford, MD","264,644","1.4%","$415,916","19.4%","29"
"Northumberland, VA","12,085","2.3%","$367,151","14.0%","51"
"Calvert, MD","94,728","2.9%","$476,299","20.9%","28"
"Prince George's, MD","947,430","1.7%","$437,052","21.7%","31"
"Caroline, MD","33,406","3.6%","$327,103","22.8%","51"
"Caroline, VA","31,541","2.1%","$330,482","15.8%","44"
"Falls Church, VA","14,593","7.5%","$1,111,058","11.1%","47"
"Culpeper, VA","53,563","4.0%","$470,285","21.4%","39"
"Winchester, VA","27,981","2.8%","$345,557","26.6%","22"
"Newport News, VA","183,118","3.1%","$287,111","27.9%","36"
"Craven, NC","102,391","2.8%","$268,813","19.7%","53"
"Jones, GA","28,526","3.6%","$242,733","13.0%","53"
"Jones, MS","66,250","1.9%","$152,691","20.4%","63"
"Jones, NC","9,245","-1.2%","$127,866","30.7%","44"
"Pitt, NC","175,119","1.2%","$243,035","19.1%","50"
"Goochland, VA","25,613","4.6%","$582,571","10.4%","47"
"New Hanover, NC","238,852","0.8%","$444,783","30.3%","54"
"Shenandoah, VA","44,630","3.3%","$334,498","17.2%","37"
"Brooke, WV","22,053","5.5%","$121,481","20.3%","64"
"Harrison, KY","18,971","13.9%","$209,392","27.1%","64"
"Harrison, MS","210,612","0.6%","$222,457","23.8%","64"
"Harrison, WV","64,639","2.6%","$146,390","22.7%","50"
"Harrison, IN","39,785","5.1%","$265,059","24.5%","43"
"Harrison, OH","14,408","0.1%","$132,023","21.8%","70"
"Halifax, NC","48,219","-0.4%","$96,741","20.0%","74"
"Halifax, VA","33,811","0.5%","$133,120","11.4%","63"
"Bland, VA","6,211","2.4%","$162,821","20.0%","106"
"Gaston, NC","237,242","0.2%","$296,093","31.4%","45"
"Lincoln, TN","35,617","4.4%","$254,442","27.2%","54"
"Lincoln, GA","7,773","3.5%","$222,375","27.2%","70"
"Lincoln, KY","24,415","7.6%","$197,968","31.1%","59"
"Lincoln, WV","20,170","0.7%","$107,126","32.0%","40"
"Lincoln, NC","95,675","2.2%","$400,478","32.2%","44"
"Rutherford, TN","367,101","1.0%","$421,177","25.9%","46"
"Rutherford, NC","65,507","-2.7%","$209,276","26.9%","59"
"Buchanan, VA","19,857","-7.9%","$74,137","14.2%","46"
"Henderson, TN","27,906","5.3%","$196,863","25.8%","72"
"Henderson, KY","44,493","5.7%","$197,071","22.7%","52"
"Henderson, NC","119,230","1.4%","$433,283","26.8%","52"
"Barnwell, SC","20,565","-4.8%","$142,047","15.6%","53"
"Long, GA","17,512","3.2%","$274,272","16.7%","64"
"Tattnall, GA","24,215","4.1%","$182,391","15.0%","86"
"Glascock, GA","2,913","0.8%","$169,760","0.0%","111"
"Osceola, FL","437,784","-3.0%","$375,484","25.4%","78"
"Flagler, FL","131,439","-4.1%","$357,953","31.8%","73"
"Baker, GA","2,830","-2.9%","$125,806","0.0%","202"
"Baker, FL","28,186","1.0%","$311,771","37.3%","58"
"Citrus, FL","166,696","-2.1%","$281,244","35.1%","71"
"Hendry, FL","40,798","-1.7%","$281,796","23.2%","79"
"Morrow, OH","35,214","3.3%","$267,577","25.9%","38"
"Fleming, KY","15,221","11.0%","$185,644","19.5%","105"
"Woodford, IL","38,348","6.1%","$225,179","13.6%","31"
"Woodford, KY","27,017","5.9%","$339,257","27.7%","62"
"Bullitt, KY","84,863","5.4%","$285,991","17.1%","45"
"Miami, OH","110,876","6.0%","$259,165","26.0%","42"
"Boone, WV","21,312","-1.2%","$84,849","0.0%","48"
"Boone, KY","140,496","4.1%","$335,179","24.0%","36"
"Boone, IN","76,120","2.6%","$410,427","25.8%","37"
"Haywood, TN","17,672","0.9%","$170,120","21.9%","78"
"Haywood, NC","62,432","2.8%","$355,777","32.9%","51"
"Harlan, KY","26,185","15.7%","$80,881","35.5%","60"
"Grainger, TN","23,929","5.1%","$262,646","31.3%","61"
"Claiborne, TN","32,221","2.8%","$211,667","28.0%","54"
"Van Buren, TN","6,293","6.7%","$224,037","14.8%","46"
"Telfair, GA","12,174","-7.5%","$109,116","18.1%","124"
"Hart, KY","19,470","10.6%","$185,169","18.3%","73"
"Hart, GA","26,484","4.0%","$317,451","18.7%","52"
"Wilkinson, GA","8,795","-1.4%","$123,652","17.3%","72"
"Banks, GA","18,757","5.4%","$337,959","18.8%","38"
"Peach, GA","28,269","2.1%","$223,426","26.6%","53"
"Macon, TN","25,793","3.5%","$259,187","30.9%","52"
"Macon, IL","100,591","4.3%","$117,849","36.8%","30"
"Macon, NC","37,533","5.3%","$359,981","19.3%","50"
"Macon, AL","18,951","3.0%","$119,951","10.0%","84"
"Macon, GA","11,953","-5.2%","$99,253","0.0%","124"
"Upson, GA","27,856","2.7%","$178,467","28.3%","73"
"Clayton, GA","298,300","-6.1%","$242,302","29.6%","51"
"Stewart, TN","13,859","2.9%","$236,503","29.2%","72"
"Stewart, GA","4,978","-4.4%","$81,414","50.0%","58"
"Harris, GA","35,509","4.0%","$359,981","18.5%","44"
"Cleburne, AL","15,254","5.0%","$229,419","13.3%","73"
"Elmore, AL","90,441","3.3%","$268,197","19.2%","50"
"Chilton, AL","45,500","2.7%","$218,404","15.9%","68"
"Brooks, GA","16,285","1.5%","$166,552","12.9%","51"
"Warrick, IN","65,867","3.2%","$280,991","30.4%","38"
"Christian, KY","72,032","7.9%","$206,547","30.7%","53"
"Christian, IL","33,684","5.7%","$120,755","24.0%","46"
"St. Clair, AL","95,552","-0.4%","$267,793","23.9%","55"
"Henry, IN","48,896","7.1%","$182,889","25.3%","46"
"Henry, GA","254,613","-3.3%","$331,649","30.2%","57"
"Henry, KY","15,774","7.7%","$238,953","19.0%","58"
"Henry, AL","17,450","3.8%","$181,238","16.5%","71"
"Henry, VA","50,365","0.4%","$137,467","16.9%","46"
"Henry, TN","32,345","3.7%","$203,781","18.4%","76"
"Calloway, KY","37,882","6.1%","$159,820","21.8%","43"
"Tishomingo, MS","18,738","6.8%","$187,676","16.6%","85"
"Livingston, KY","8,941","9.5%","$148,002","25.8%","56"
"Graves, KY","36,612","10.8%","$162,915","23.5%","46"
"Hickman, TN","25,229","5.3%","$176,264","38.5%","56"
"Hickman, KY","4,470","16.7%","$153,157","50.0%","47"
"Obion, TN","30,570","1.6%","$155,991","25.2%","70"
"Benton, TN","15,948","-0.9%","$170,990","22.9%","66"
"Benton, IN","8,708","6.9%","$188,499","20.0%","41"
"Benton, MS","7,592","9.4%","$141,317","48.0%","47"
"Conecuh, AL","11,411","1.8%","$120,603","21.0%","95"
"Winston, MS","17,609","-1.3%","$141,120","17.0%","135"
"Winston, AL","23,637","5.5%","$184,003","18.8%","66"
"Noxubee, MS","10,136","8.3%","$113,918","0.0%","124"
"Neshoba, MS","28,927","0.2%","$139,723","8.6%","70"
"Yalobusha, MS","12,439","1.1%","$150,605","20.5%","68"
"Essex, VA","10,604","3.3%","$292,063","14.8%","46"
"Essex, NJ","851,117","4.8%","$647,911","10.9%","30"
"Bucks, PA","645,984","3.8%","$505,410","14.7%","25"
"Baltimore, MD","565,239","0.3%","$184,072","24.3%","44"
"Baltimore, MD","844,703","2.4%","$360,114","22.1%","26"
"Snyder, PA","39,711","3.4%","$232,997","16.4%","100"
"King George, VA","27,468","3.2%","$461,901","10.5%","24"
"Fairfax, VA","24,478","5.6%","$799,712","0.0%","56"
"Fairfax, VA","1,141,878","4.2%","$792,806","21.2%","22"
"Frederick, VA","95,994","3.0%","$424,293","21.4%","31"
"Frederick, MD","293,391","3.4%","$511,685","24.9%","23"
"Spotsylvania, VA","149,588","3.5%","$450,876","21.0%","27"
"Manassas Park, VA","16,923","4.3%","$461,332","0.0%","85"
"Louisa, VA","39,012","5.4%","$404,768","21.3%","51"
"Carteret, NC","69,615","1.1%","$468,456","19.6%","64"
"Lancaster, PA","558,589","3.6%","$370,278","14.5%","23"
"Lancaster, SC","108,215","1.0%","$382,249","34.2%","45"
"Lancaster, VA","10,876","4.6%","$377,760","18.5%","61"
"Portsmouth, VA","96,793","2.6%","$256,046","41.5%","31"
"Poquoson, VA","12,556","3.9%","$452,165","36.3%","32"
"King William, VA","18,232","3.4%","$344,020","8.6%","55"
"Petersburg, VA","33,365","4.4%","$193,311","21.4%","37"
"Dinwiddie, VA","28,083","3.9%","$282,857","12.1%","40"
"Nash, NC","96,551","0.6%","$233,103","18.0%","54"
"Vance, NC","42,361","1.5%","$188,131","25.2%","49"
"Westmoreland, VA","18,683","5.0%","$315,697","15.8%","58"
"Westmoreland, PA","351,163","3.8%","$206,425","23.0%","45"
"Staunton, VA","25,765","3.9%","$276,345","25.9%","30"
"Gilmer, GA","31,976","1.0%","$423,453","29.8%","62"
"Gilmer, WV","7,376","4.2%","$117,517","26.6%","85"
"Wirt, WV","5,131","3.9%","$109,738","26.6%","56"
"Tuscarawas, OH","91,874","5.8%","$200,976","26.8%","39"
"Meigs, TN","13,076","3.9%","$287,015","31.2%","80"
"Meigs, OH","22,072","-0.8%","$103,678","29.6%","52"
"Cabell, WV","92,082","9.7%","$158,468","18.2%","39"
"Bladen, NC","29,591","0.5%","$151,633","21.6%","72"
"Buckingham, VA","16,914","3.0%","$254,988","8.0%","23"
"Granville, NC","61,439","1.7%","$315,706","28.6%","46"
"Chatham, GA","303,655","0.6%","$351,851","29.8%","57"
"Chatham, NC","81,624","0.9%","$564,168","22.7%","47"
"Danville, VA","42,239","3.5%","$130,610","25.0%","54"
"Guilford, NC","549,866","1.0%","$272,141","22.4%","43"
"Yadkin, NC","37,419","5.3%","$227,583","27.2%","46"
"Summers, WV","11,833","7.3%","$145,065","9.7%","44"
"Ashe, NC","26,831","-0.7%","$349,422","21.7%","47"
"Caldwell, KY","12,631","7.5%","$150,205","25.8%","68"
"Caldwell, NC","80,574","2.9%","$230,505","28.6%","43"
"Greenville, SC","558,036","0.7%","$334,647","27.9%","44"
"Wise, VA","35,727","4.5%","$124,801","19.0%","62"
"Columbus, NC","50,453","-2.5%","$188,486","29.9%","61"
"Bamberg, SC","13,164","-0.9%","$129,349","0.0%","37"
"Newberry, SC","38,121","1.2%","$207,591","27.1%","66"
"Saluda, SC","18,958","3.5%","$209,660","22.6%","67"
"Candler, GA","10,972","8.5%","$203,030","23.5%","34"
"Appling, GA","18,426","1.4%","$158,836","27.9%","87"
"Bacon, GA","11,129","4.6%","$133,730","20.0%","88"
"Indian River, FL","169,795","-3.9%","$373,733","23.5%","85"
"Lake, TN","6,691","-1.0%","$111,274","46.1%","54"
"Lake, FL","424,462","-1.1%","$368,247","32.9%","64"
"Duval, FL","1,030,822","-2.7%","$302,045","39.2%","58"
"Camden, NC","10,743","6.7%","$388,041","19.2%","59"
"Camden, NJ","527,196","4.8%","$344,483","15.1%","23"
"Camden, GA","56,036","2.1%","$300,734","20.7%","66"
"Nassau, NY","1,381,715","5.5%","$810,898","10.4%","42"
"Nassau, FL","101,501","-0.0%","$490,271","27.4%","65"
"Ross, OH","76,501","4.5%","$192,742","27.6%","46"
"Elliott, KY","7,336","13.1%","$155,811","40.0%","80"
"Bracken, KY","8,427","6.2%","$172,303","13.3%","59"
"Bourbon, KY","20,174","4.6%","$243,354","15.3%","45"
"Preble, OH","40,802","4.3%","$221,834","28.3%","52"
"Meade, KY","30,032","10.7%","$258,770","36.0%","39"
"Transylvania, NC","33,243","3.9%","$478,399","24.3%","59"
"Rabun, GA","17,107","3.1%","$405,352","18.1%","73"
"Swain, NC","14,065","2.6%","$324,549","14.2%","70"
"Whitley, KY","36,755","3.8%","$150,589","34.0%","73"
"Fentress, TN","18,948","6.5%","$238,335","25.2%","77"
"White, IN","24,709","6.0%","$217,055","27.1%","32"
"White, IL","13,708","-3.7%","$109,738","25.0%","57"
"White, GA","28,454","2.7%","$317,838","26.9%","62"
"White, TN","27,764","4.9%","$262,017","36.9%","71"
"Dade, GA","16,196","3.0%","$242,911","28.9%","74"
"Wilson, NC","78,970","1.1%","$216,807","26.9%","57"
"Wilson, TN","163,674","1.4%","$506,040","24.6%","41"
"Sumner, TN","207,994","0.9%","$441,255","26.2%","40"
"Moore, NC","106,898","1.9%","$415,515","22.7%","50"
"Moore, TN","6,611","2.7%","$340,633","32.6%","82"
"Dodge, GA","19,909","-4.0%","$130,963","22.8%","81"
"Turner, GA","8,915","0.2%","$131,548","14.8%","72"
"Worth, GA","20,575","-1.2%","$155,684","9.7%","58"
"Crawford, IL","18,588","3.5%","$127,217","20.3%","49"
"Crawford, IN","10,494","9.1%","$159,631","11.1%","44"
"Crawford, GA","12,183","1.3%","$191,809","21.0%","35"
"Butts, GA","26,074","0.4%","$283,644","28.5%","51"
"Rockdale, GA","95,987","-2.3%","$312,379","23.9%","53"
"Cobb, GA","776,743","-1.5%","$436,841","31.1%","40"
"Meriwether, GA","20,757","-0.0%","$200,082","11.3%","71"
"Troup, GA","70,742","3.3%","$228,280","24.3%","66"
"Russell, VA","25,635","-3.7%","$132,629","35.2%","94"
"Russell, KY","18,117","9.7%","$163,469","30.0%","70"
"Russell, AL","58,858","5.3%","$187,287","15.9%","45"
"Quitman, GA","2,092","-10.6%","$103,585","13.7%","78"
"Heard, GA","11,616","-0.1%","$263,080","10.0%","69"
"DeKalb, GA","762,992","-3.3%","$352,277","35.4%","47"
"DeKalb, TN","20,551","1.2%","$295,189","38.5%","72"
"DeKalb, AL","72,569","7.3%","$204,001","22.1%","64"
"Coosa, AL","10,323","-2.1%","$178,067","28.5%","71"
"Levy, FL","44,276","0.2%","$290,963","24.0%","68"
"Clinch, GA","6,722","-7.1%","$109,051","0.0%","39"
"Liberty, GA","69,210","3.9%","$245,262","21.2%","50"
"Liberty, FL","7,650","-1.0%","$191,076","20.0%","74"
"Walton, GA","106,702","0.5%","$389,676","29.4%","54"
"Walton, FL","86,354","-5.2%","$673,128","22.7%","80"
"Parke, IN","16,346","6.1%","$203,607","35.7%","58"
"Gibson, TN","50,610","0.9%","$174,118","24.2%","48"
"Gibson, IN","32,986","5.8%","$202,633","19.7%","36"
"Vermilion, IL","71,652","1.3%","$90,335","17.6%","52"
"McLean, KY","9,127","12.5%","$156,141","23.5%","44"
"McLean, IL","170,441","6.6%","$248,898","13.2%","32"
"Limestone, AL","114,654","0.5%","$320,411","21.6%","58"
"Todd, KY","12,330","10.9%","$209,078","11.1%","59"
"Webster, GA","2,348","-0.6%","$149,606","0.0%","153"
"Webster, WV","8,253","0.0%","$73,115","0.0%","49"
"Webster, MS","9,942","0.3%","$165,152","15.3%","98"
"Webster, KY","12,873","2.3%","$137,264","17.3%","80"
"Houston, AL","108,462","6.1%","$195,260","27.0%","54"
"Houston, GA","171,974","3.1%","$248,787","13.6%","52"
"Houston, TN","8,293","5.8%","$214,328","45.4%","59"
"Hardin, OH","30,527","4.9%","$177,176","17.1%","30"
"Hardin, KY","112,273","6.2%","$243,742","26.9%","45"
"Hardin, IL","3,623","-7.3%","$110,637","0.0%","43"
"Hardin, TN","26,939","5.9%","$201,213","24.4%","84"
"Jackson, OH","32,588","-0.7%","$141,547","26.6%","51"
"Jackson, GA","88,615","1.9%","$409,188","25.5%","56"
"Jackson, FL","47,652","0.0%","$172,687","20.9%","84"
"Jackson, WV","27,753","5.6%","$190,997","21.0%","36"
"Jackson, NC","43,089","4.4%","$442,977","11.6%","53"
"Jackson, MS","146,389","3.1%","$210,936","24.9%","57"
"Jackson, IN","46,319","3.5%","$225,184","32.7%","51"
"Jackson, KY","13,003","4.8%","$126,849","31.5%","69"
"Jackson, TN","11,882","5.2%","$227,115","25.0%","61"
"Jackson, AL","52,839","2.3%","$186,030","20.4%","68"
"Jackson, IL","52,706","6.0%","$120,332","13.2%","65"
"Marshall, TN","35,276","2.1%","$324,967","31.3%","48"
"Marshall, AL","100,756","2.8%","$232,279","21.7%","66"
"Marshall, WV","30,129","1.3%","$121,990","13.9%","73"
"Marshall, KY","31,728","13.0%","$181,484","19.3%","65"
"Marshall, MS","33,899","4.3%","$214,421","18.9%","61"
"Tipton, IN","15,329","7.2%","$229,805","23.5%","28"
"Dallas, AL","37,536","-2.1%","$79,742","12.3%","96"
"Wilcox, GA","8,784","-5.4%","$118,214","20.0%","67"
"Wilcox, AL","10,347","1.6%","$133,927","20.0%","97"
"Pickens, SC","135,495","4.0%","$300,671","36.8%","50"
"Pickens, GA","34,197","1.2%","$388,672","27.7%","59"
"Pickens, AL","18,843","2.4%","$134,230","13.7%","72"
"Itawamba, MS","23,942","3.7%","$144,782","17.9%","73"
"Kemper, MS","8,855","-12.5%","$119,625","0.0%","82"
"Choctaw, AL","12,525","-2.1%","$123,715","20.0%","42"
"Choctaw, MS","8,172","1.3%","$150,626","23.5%","77"
"Forrest, MS","78,208","2.9%","$182,450","21.8%","51"
"Attala, MS","17,685","1.7%","$118,106","12.9%","89"
"Smith, TN","20,196","0.6%","$302,757","30.5%","57"
"Smith, MS","14,193","1.4%","$146,600","38.0%","67"
"Mobile, AL","411,640","1.2%","$195,052","31.8%","58"
"Pearl River, MS","56,781","1.4%","$216,065","31.1%","76"
"Suffolk, VA","100,659","2.6%","$378,435","24.3%","40"
"Kings, NY","2,561,225","3.9%","$926,464","10.8%","59"
"Monroe, MS","33,928","5.0%","$159,096","18.3%","65"
"Monroe, OH","13,308","3.0%","$141,722","22.2%","54"
"Monroe, WV","12,401","9.5%","$173,377","16.0%","54"
"Monroe, IN","139,342","3.2%","$311,406","27.5%","44"
"Monroe, TN","47,054","0.4%","$272,009","32.9%","61"
"Monroe, KY","11,318","10.6%","$142,102","16.0%","79"
"Monroe, GA","28,919","4.4%","$325,787","23.0%","67"
"Monroe, FL","80,614","-3.6%","$977,241","21.7%","95"
"Monroe, AL","19,580","4.2%","$136,719","20.6%","55"
"New Castle, DE","578,592","2.7%","$361,685","19.8%","31"
"Queen Anne's, MD","50,951","4.1%","$520,022","30.7%","40"
"Kent, DE","189,789","3.2%","$365,696","19.5%","38"
"Kent, MD","19,265","3.7%","$376,802","14.0%","52"
"Schuylkill, PA","143,786","6.7%","$151,975","24.3%","41"
"Cecil, MD","105,672","3.6%","$376,060","21.3%","36"
"St. Mary's, MD","115,281","2.9%","$423,202","20.8%","30"
"Howard, IN","83,831","8.8%","$181,880","28.6%","35"
"Howard, MD","336,001","2.5%","$647,095","15.2%","16"
"Cumberland, TN","62,529","0.9%","$293,936","27.9%","66"
"Cumberland, NJ","152,326","5.8%","$266,799","18.2%","47"
"Cumberland, KY","5,948","5.2%","$150,132","15.3%","89"
"Cumberland, IL","10,378","-3.3%","$164,768","0.0%","29"
"Cumberland, VA","9,745","5.4%","$279,655","9.5%","37"
"Cumberland, NC","337,890","1.8%","$225,991","20.4%","50"
"Cumberland, PA","270,738","3.3%","$334,474","14.3%","36"
"Alexandria, VA","155,230","2.6%","$690,599","23.5%","23"
"Mifflin, PA","46,074","6.1%","$180,085","18.6%","39"
"Manassas, VA","42,674","4.8%","$498,461","14.0%","22"
"Rappahannock, VA","7,409","2.1%","$557,353","30.0%","52"
"Warren, IN","8,469","3.9%","$222,746","27.5%","34"
"Warren, NC","18,751","0.6%","$238,148","21.4%","58"
"Warren, OH","252,148","3.8%","$405,564","20.4%","37"
"Warren, TN","41,587","1.5%","$246,080","27.8%","66"
"Warren, GA","5,175","-2.9%","$97,458","0.0%","51"
"Warren, KY","142,229","2.7%","$292,295","24.7%","59"
"Warren, VA","41,104","5.6%","$380,478","20.7%","34"
"Charlottesville, VA","45,863","4.4%","$491,419","30.7%","36"
"Currituck, NC","29,612","2.2%","$552,352","21.5%","72"
"Tyrrell, NC","3,376","-0.0%","$164,558","0.0%","35"
"Gloucester, NJ","308,423","4.6%","$374,168","13.7%","28"
"Gloucester, VA","39,228","4.8%","$362,788","24.0%","41"
"Gates, NC","10,437","15.5%","$245,592","14.2%","23"
"King and Queen, VA","6,676","10.3%","$286,016","14.8%","37"
"Charles City, VA","6,686","3.8%","$279,378","0.0%","31"
"Hanover, VA","114,148","2.6%","$441,323","18.0%","44"
"Henrico, VA","334,760","2.9%","$394,127","16.6%","32"
"Chesterfield, SC","43,575","0.3%","$157,648","11.9%","60"
"Chesterfield, VA","383,876","2.0%","$403,545","15.2%","38"
"Greensville, VA","11,304","3.4%","$155,550","0.0%","26"
"Lenoir, NC","54,917","5.1%","$139,477","29.4%","54"
"Cambria, PA","130,668","1.2%","$117,020","21.2%","52"
"Pendleton, KY","14,683","7.1%","$198,569","23.5%","32"
"Pendleton, WV","6,111","8.0%","$195,433","10.2%","49"
"Tucker, WV","6,698","1.5%","$199,205","16.9%","68"
"Taylor, GA","7,786","-1.2%","$139,338","0.0%","73"
"Taylor, KY","26,205","11.3%","$208,870","30.9%","82"
"Taylor, FL","21,422","-2.5%","$186,327","12.5%","68"
"Taylor, WV","16,543","6.9%","$186,728","16.0%","66"
"Covington, MS","18,226","4.2%","$151,018","10.2%","66"
"Covington, AL","37,647","4.4%","$150,351","20.1%","74"
"Hudson, NJ","705,472","4.7%","$629,980","11.6%","37"
"Braxton, WV","12,345","7.3%","$140,936","15.3%","131"
"Giles, TN","30,442","3.6%","$252,335","27.1%","67"
"Giles, VA","16,610","1.3%","$183,397","28.5%","36"
"Radford, VA","16,505","2.4%","$259,999","24.4%","63"
"Cleveland, NC","101,378","-2.2%","$213,171","32.0%","59"
"Sullivan, IN","20,766","10.3%","$152,550","11.7%","45"
"Sullivan, TN","162,135","2.7%","$256,419","27.9%","45"
"Bristol, VA","17,024","1.7%","$182,443","31.8%","53"
"Unicoi, TN","17,779","1.3%","$239,880","29.6%","43"
"Norton, VA","3,620","3.6%","$120,564","0.0%","56"
"Georgetown, SC","65,731","1.2%","$384,342","29.0%","65"
"Dorchester, MD","32,612","3.0%","$269,512","27.6%","58"
"Dorchester, SC","169,833","-0.0%","$349,766","44.4%","43"
"Colleton, SC","38,623","4.9%","$249,909","25.8%","73"
"Beaufort, NC","44,597","5.5%","$238,430","24.1%","62"
"Beaufort, SC","198,979","1.1%","$544,103","29.9%","61"
"Fairfield, OH","165,360","3.0%","$361,601","27.7%","28"
"Fairfield, SC","20,741","-3.0%","$162,344","32.8%","50"
"Hampton, VA","137,098","1.5%","$269,205","33.7%","39"
"Hampton, SC","18,555","-1.0%","$149,661","0.0%","117"
"Greenwood, SC","69,460","-0.2%","$168,031","26.8%","48"
"Treutlen, GA","6,387","-5.3%","$114,133","0.0%","57"
"St. Lucie, FL","373,586","-2.9%","$381,892","26.7%","78"
"Brevard, FL","643,979","-3.2%","$350,317","33.0%","65"
"Putnam, WV","57,250","6.3%","$235,037","14.3%","33"
"Putnam, GA","22,524","3.0%","$411,959","24.9%","70"
"Putnam, IN","37,091","4.2%","$262,730","21.4%","45"
"Putnam, TN","83,844","1.1%","$305,854","33.9%","58"
"Putnam, FL","75,955","-1.8%","$213,686","23.8%","81"
"Charlton, GA","12,711","2.4%","$199,433","17.3%","98"
"Ware, GA","35,958","-1.1%","$129,934","29.5%","73"
"Collier, FL","404,310","-6.4%","$593,020","21.5%","95"
"Clinton, IN","32,967","7.1%","$213,933","25.8%","37"
"Clinton, KY","9,240","11.6%","$166,440","20.0%","99"
"Clinton, IL","36,899","5.7%","$208,512","21.0%","40"
"Clinton, OH","42,014","5.1%","$241,264","16.2%","32"
"Powell, KY","13,057","8.0%","$167,731","23.8%","65"
"Jessamine, KY","53,792","4.4%","$311,488","24.6%","52"
"Owen, IN","21,434","5.0%","$227,435","33.3%","54"
"Owen, KY","11,270","5.1%","$171,802","21.0%","47"
